table,cat,country,country_en,country_es,first_code,last_code,total_days,months_advanced,months_held,months_retrogressed,months_current
employment_final_action,"5th Unreserved (including C5, T5, I5, R5, NU, RU)",INDIA,India,India,01MAY22,U,0,0,5,0,0
employment_final_action,"5th Unreserved (including C5, T5, I5, R5, NU, RU)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_final_action,"5th Unreserved (including C5, T5, I5, R5, NU, RU)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Rural (20%, including NR, RR)",ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Rural (20%, including NR, RR)",CHINA,China (mainland-born),China (continental),C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Rural (20%, including NR, RR)",INDIA,India,India,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Rural (20%, including NR, RR)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Rural (20%, including NR, RR)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: High Unemployment (10%, including NH, RH)",ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: High Unemployment (10%, including NH, RH)",CHINA,China (mainland-born),China (continental),C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: High Unemployment (10%, including NH, RH)",INDIA,India,India,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: High Unemployment (10%, including NH, RH)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: High Unemployment (10%, including NH, RH)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Infrastructure (2%, including RI)",ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Infrastructure (2%, including RI)",CHINA,China (mainland-born),China (continental),C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Infrastructure (2%, including RI)",INDIA,India,India,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Infrastructure (2%, including RI)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_final_action,"5th Set Aside: Infrastructure (2%, including RI)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
family_dates_for_filing,F1,ALL,All other countries,Todos los demás países,01SEP17,15JUN19,652,4,3,0,0
family_dates_for_filing,F1,CHINA,China (mainland-born),China (continental),01SEP17,15JUN19,652,4,3,0,0
family_dates_for_filing,F1,INDIA,India,India,01SEP17,15JUN19,652,4,3,0,0
family_dates_for_filing,F1,MEXICO,Mexico,México,01SEP07,01DEC08,457,4,3,0,0
family_dates_for_filing,F1,PHILIPPINES,Philippines,Filipinas,22APR15,22APR15,0,0,7,0,0
family_dates_for_filing,F2A,ALL,All other countries,Todos los demás países,22DEC25,C,62,2,0,0,4
family_dates_for_filing,F2A,CHINA,China (mainland-born),China (continental),22DEC25,C,62,2,0,0,4
family_dates_for_filing,F2A,INDIA,India,India,22DEC25,C,62,2,0,0,4
family_dates_for_filing,F2A,MEXICO,Mexico,México,22DEC25,C,62,2,0,0,4
family_dates_for_filing,F2A,PHILIPPINES,Philippines,Filipinas,22DEC25,C,62,2,0,0,4
family_dates_for_filing,F2B,ALL,All other countries,Todos los demás países,15MAR17,01JAN19,657,5,2,0,0
family_dates_for_filing,F2B,CHINA,China (mainland-born),China (continental),15MAR17,01JAN19,657,5,2,0,0
family_dates_for_filing,F2B,INDIA,India,India,15MAR17,01JAN19,657,5,2,0,0
family_dates_for_filing,F2B,MEXICO,Mexico,México,15NOV09,15MAY10,181,2,5,0,0
family_dates_for_filing,F2B,PHILIPPINES,Philippines,Filipinas,01OCT13,01OCT13,0,0,7,0,0
family_dates_for_filing,F3,ALL,All other countries,Todos los demás países,22JUL12,01MAR13,222,3,4,0,0
family_dates_for_filing,F3,CHINA,China (mainland-born),China (continental),22JUL12,01MAR13,222,3,4,0,0
family_dates_for_filing,F3,INDIA,India,India,22JUL12,01MAR13,222,3,4,0,0
family_dates_for_filing,F3,MEXICO,Mexico,México,01JUL01,15JUL01,14,1,6,0,0
family_dates_for_filing,F3,PHILIPPINES,Philippines,Filipinas,01FEB06,08AUG06,188,3,4,0,0
family_dates_for_filing,F4,ALL,All other countries,Todos los demás países,01MAR09,22JUN10,478,5,2,0,0
family_dates_for_filing,F4,CHINA,China (mainland-born),China (continental),01MAR09,22JUN10,478,5,2,0,0
family_dates_for_filing,F4,INDIA,India,India,15DEC06,15DEC06,0,0,7,0,0
family_dates_for_filing,F4,MEXICO,Mexico,México,30APR01,30APR01,0,0,7,0,0
family_dates_for_filing,F4,PHILIPPINES,Philippines,Filipinas,15JAN08,22MAR08,67,1,6,0,0
employment_dates_for_filing,1st,ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_dates_for_filing,1st,CHINA,China (mainland-born),China (continental),01AUG23,01DEC23,122,1,6,0,0
employment_dates_for_filing,1st,INDIA,India,India,01AUG23,01DEC23,122,1,6,0,0
employment_dates_for_filing,1st,MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_dates_for_filing,1st,PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_dates_for_filing,2nd,ALL,All other countries,Todos los demás países,15OCT24,C,0,0,1,0,5
employment_dates_for_filing,2nd,CHINA,China (mainland-born),China (continental),01JAN22,01JAN22,0,0,7,0,0
employment_dates_for_filing,2nd,INDIA,India,India,01DEC13,15JAN15,410,2,5,0,0
employment_dates_for_filing,2nd,MEXICO,Mexico,México,15OCT24,C,0,0,1,0,5
employment_dates_for_filing,2nd,PHILIPPINES,Philippines,Filipinas,15OCT24,C,0,0,1,0,5
employment_dates_for_filing,3rd,ALL,All other countries,Todos los demás países,01JUL23,C,198,2,0,0,4
employment_dates_for_filing,3rd,CHINA,China (mainland-born),China (continental),01JAN22,08JAN22,7,1,6,0,0
employment_dates_for_filing,3rd,INDIA,India,India,15AUG14,15JAN15,153,1,6,0,0
employment_dates_for_filing,3rd,MEXICO,Mexico,México,01JUL23,C,198,2,0,0,4
employment_dates_for_filing,3rd,PHILIPPINES,Philippines,Filipinas,01JUL23,01JAN24,184,2,5,0,0
employment_dates_for_filing,Other Workers,ALL,All other countries,Todos los demás países,01DEC21,01AUG22,243,2,5,0,0
employment_dates_for_filing,Other Workers,CHINA,China (mainland-born),China (continental),01OCT19,01OCT19,0,0,7,0,0
employment_dates_for_filing,Other Workers,INDIA,India,India,15AUG14,15JAN15,153,1,6,0,0
employment_dates_for_filing,Other Workers,MEXICO,Mexico,México,01DEC21,01AUG22,243,2,5,0,0
employment_dates_for_filing,Other Workers,PHILIPPINES,Philippines,Filipinas,01DEC21,01AUG22,243,2,5,0,0
employment_dates_for_filing,4th,ALL,All other countries,Todos los demás países,15MAR21,01JAN23,657,1,6,0,0
employment_dates_for_filing,4th,CHINA,China (mainland-born),China (continental),15MAR21,01JAN23,657,1,6,0,0
employment_dates_for_filing,4th,INDIA,India,India,15MAR21,01JAN23,657,1,6,0,0
employment_dates_for_filing,4th,MEXICO,Mexico,México,15MAR21,01JAN23,657,1,6,0,0
employment_dates_for_filing,4th,PHILIPPINES,Philippines,Filipinas,15MAR21,01JAN23,657,1,6,0,0
employment_dates_for_filing,Certain Religious Workers,ALL,All other countries,Todos los demás países,15MAR21,01JAN23,0,0,5,0,0
