date,effective_on,type,title,document_number,citation,url,pdf_url,agency,scope
2006-09-20,2007-10-01,Notice,Termination of the Designation of Liberia for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Liberia TPS Beneficiaries,06-7785,71 FR 55000,https://www.federalregister.gov/documents/2006/09/20/06-7785/termination-of-the-designation-of-liberia-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/06-7785.pdf,Homeland Security Department,country
2007-03-08,2007-05-03,Notice,Extension of the Designation of Sudan for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Sudanese TPS Beneficiaries,E7-4097,72 FR 10541,https://www.federalregister.gov/documents/2007/03/08/E7-4097/extension-of-the-designation-of-sudan-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2007-03-08/pdf/E7-4097.pdf,Homeland Security Department,country
2007-05-29,2007-07-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Honduran TPS Beneficiaries,E7-10175,72 FR 29529,https://www.federalregister.gov/documents/2007/05/29/E7-10175/extension-of-the-designation-of-honduras-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2007-05-29/pdf/E7-10175.pdf,Homeland Security Department,country
2007-05-29,2007-07-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Nicaraguan TPS Beneficiaries,E7-10194,72 FR 29534,https://www.federalregister.gov/documents/2007/05/29/E7-10194/extension-of-the-designation-of-nicaragua-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2007-05-29/pdf/E7-10194.pdf,Homeland Security Department,country
2007-08-21,2007-09-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Salvadoran TPS Beneficiaries,E7-16092,72 FR 46649,https://www.federalregister.gov/documents/2007/08/21/E7-16092/extension-of-the-designation-of-el-salvador-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2007-08-21/pdf/E7-16092.pdf,Homeland Security Department,country
2007-10-29,2009-05-02,Notice,Termination of the Designation of Burundi for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Burundi TPS Beneficiaries,E7-21128,72 FR 61172,https://www.federalregister.gov/documents/2007/10/29/E7-21128/termination-of-the-designation-of-burundi-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2007-10-29/pdf/E7-21128.pdf,Homeland Security Department,country
2008-03-12,2008-03-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Somali Temporary Protected Status Beneficiaries,E8-4898,73 FR 13245,https://www.federalregister.gov/documents/2008/03/12/E8-4898/extension-of-the-designation-of-somalia-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2008-03-12/pdf/E8-4898.pdf,Homeland Security Department,country
2008-08-14,2008-11-03,Notice,Extension of the Designation of Sudan for Temporary Protected Status; Automatic Extension of Employment Authorization Documentation for Sudanese TPS Beneficiaries,E8-18826,73 FR 47606,https://www.federalregister.gov/documents/2008/08/14/E8-18826/extension-of-the-designation-of-sudan-for-temporary-protected-status-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2008-08-14/pdf/E8-18826.pdf,Homeland Security Department,country
2008-10-01,2009-01-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status,E8-22972,73 FR 57133,https://www.federalregister.gov/documents/2008/10/01/E8-22972/extension-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2008-10-01/pdf/E8-22972.pdf,Homeland Security Department,country
2008-10-01,2009-01-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status,E8-22978,73 FR 57138,https://www.federalregister.gov/documents/2008/10/01/E8-22978/extension-of-the-designation-of-nicaragua-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2008-10-01/pdf/E8-22978.pdf,Homeland Security Department,country
2008-10-01,2009-03-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status,E8-22979,73 FR 57128,https://www.federalregister.gov/documents/2008/10/01/E8-22979/extension-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2008-10-01/pdf/E8-22979.pdf,Homeland Security Department,country
2008-11-24,2008-11-24,Notice,Extension of the Re-Registration Period and Automatic Extension of Employment Authorization Documentation for Honduran Temporary Protected Status Beneficiaries,E8-27702,73 FR 71020,https://www.federalregister.gov/documents/2008/11/24/E8-27702/extension-of-the-re-registration-period-and-automatic-extension-of-employment-authorization,https://www.govinfo.gov/content/pkg/FR-2008-11-24/pdf/E8-27702.pdf,Homeland Security Department,country
2008-11-24,2008-11-24,Notice,Extension of the Re-Registration Period and Automatic Extension of Employment Authorization Documentation for Nicaraguan Temporary Protected Status Beneficiaries,E8-27703,73 FR 71021,https://www.federalregister.gov/documents/2008/11/24/E8-27703/extension-of-the-re-registration-period-and-automatic-extension-of-employment-authorization,https://www.govinfo.gov/content/pkg/FR-2008-11-24/pdf/E8-27703.pdf,Homeland Security Department,country
2008-12-15,2008-12-15,Notice,Automatic Extension of Employment Authorization Documentation for Salvadoran Temporary Protected Status Beneficiaries,E8-29511,73 FR 76039,https://www.federalregister.gov/documents/2008/12/15/E8-29511/automatic-extension-of-employment-authorization-documentation-for-salvadoran-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2008-12-15/pdf/E8-29511.pdf,Homeland Security Department,country
2009-07-27,2009-09-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Somalian TPS Beneficiaries,E9-17862,74 FR 37043,https://www.federalregister.gov/documents/2009/07/27/E9-17862/extension-of-the-designation-of-somalia-for-temporary-protected-status-and-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2009-07-27/pdf/E9-17862.pdf,Homeland Security Department,country
2009-12-31,2010-05-03,Notice,Extension of the Designation of Sudan for Temporary Protected Status,E9-30831,74 FR 69355,https://www.federalregister.gov/documents/2009/12/31/E9-30831/extension-of-the-designation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2009-12-31/pdf/E9-30831.pdf,Homeland Security Department,country
2010-01-21,2010-01-21,Notice,Designation of Haiti for Temporary Protected Status,2010-1169,75 FR 3476,https://www.federalregister.gov/documents/2010/01/21/2010-1169/designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2010-01-21/pdf/2010-1169.pdf,Homeland Security Department,country
2010-05-05,2010-07-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Nicaraguan TPS Beneficiaries,2010-10619,75 FR 24737,https://www.federalregister.gov/documents/2010/05/05/2010-10619/extension-of-the-designation-of-nicaragua-for-temporary-protected-status-and-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2010-05-05/pdf/2010-10619.pdf,Homeland Security Department,country
2010-05-05,2010-07-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Honduran TPS Beneficiaries,2010-10620,75 FR 24734,https://www.federalregister.gov/documents/2010/05/05/2010-10620/extension-of-the-designation-of-honduras-for-temporary-protected-status-and-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2010-05-05/pdf/2010-10620.pdf,Homeland Security Department,country
2010-07-09,2010-09-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Salvadoran TPS Beneficiaries,2010-16431,75 FR 39556,https://www.federalregister.gov/documents/2010/07/09/2010-16431/extension-of-the-designation-of-el-salvador-for-temporary-protected-status-and-automatic-extension,https://www.govinfo.gov/content/pkg/FR-2010-07-09/pdf/2010-16431.pdf,Homeland Security Department,country
2010-07-13,,Notice,Extension of the Initial Registration Period for Haitians Under the Temporary Protected Status Program,2010-17116,75 FR 39957,https://www.federalregister.gov/documents/2010/07/13/2010-17116/extension-of-the-initial-registration-period-for-haitians-under-the-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2010-07-13/pdf/2010-17116.pdf,Homeland Security Department,country
