date,effective_on,type,title,document_number,citation,url,pdf_url,agency,scope
2015-08-25,2016-01-23,Notice,Extension of the Designation of Haiti for Temporary Protected Status,2015-21006,80 FR 51582,https://www.federalregister.gov/documents/2015/08/25/2015-21006/extension-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-08-25/pdf/2015-21006.pdf,Homeland Security Department,country
2015-09-03,2015-09-03,Notice,Designation of the Republic of Yemen for Temporary Protected Status,2015-21881,80 FR 53319,https://www.federalregister.gov/documents/2015/09/03/2015-21881/designation-of-the-republic-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-09-03/pdf/2015-21881.pdf,Homeland Security Department,country
2016-01-25,2016-05-03,Notice,Extension of the Designation of Sudan for Temporary Protected Status,2016-01387,81 FR 4045,https://www.federalregister.gov/documents/2016/01/25/2016-01387/extension-of-the-designation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-01-25/pdf/2016-01387.pdf,Homeland Security Department,country
2016-01-25,2016-05-03,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status,2016-01388,81 FR 4051,https://www.federalregister.gov/documents/2016/01/25/2016-01388/extension-and-redesignation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-01-25/pdf/2016-01388.pdf,Homeland Security Department,country
2016-03-22,2016-05-22,Notice,Extension of the Designation of Guinea for Temporary Protected Status,2016-06325,81 FR 15339,https://www.federalregister.gov/documents/2016/03/22/2016-06325/extension-of-the-designation-of-guinea-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-03-22/pdf/2016-06325.pdf,Homeland Security Department,country
2016-03-22,2016-05-22,Notice,Extension of the Designation of Liberia for Temporary Protected Status,2016-06328,81 FR 15328,https://www.federalregister.gov/documents/2016/03/22/2016-06328/extension-of-the-designation-of-liberia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-03-22/pdf/2016-06328.pdf,Homeland Security Department,country
2016-03-22,2016-05-22,Notice,Extension of the Designation of Sierra Leone for Temporary Protected Status,2016-06330,81 FR 15334,https://www.federalregister.gov/documents/2016/03/22/2016-06330/extension-of-the-designation-of-sierra-leone-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-03-22/pdf/2016-06330.pdf,Homeland Security Department,country
2016-05-16,2016-07-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status,2016-11305,81 FR 30325,https://www.federalregister.gov/documents/2016/05/16/2016-11305/extension-of-the-designation-of-nicaragua-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-05-16/pdf/2016-11305.pdf,Homeland Security Department,country
2016-05-16,2016-07-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status,2016-11306,81 FR 30331,https://www.federalregister.gov/documents/2016/05/16/2016-11306/extension-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-05-16/pdf/2016-11306.pdf,Homeland Security Department,country
2016-07-08,2016-09-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status,2016-15802,81 FR 44645,https://www.federalregister.gov/documents/2016/07/08/2016-15802/extension-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-07-08/pdf/2016-15802.pdf,Homeland Security Department,country
2016-08-01,2016-10-01,Notice,Extension and Redesignation of Syria for Temporary Protected Status,2016-17933,81 FR 50533,https://www.federalregister.gov/documents/2016/08/01/2016-17933/extension-and-redesignation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-08-01/pdf/2016-17933.pdf,Homeland Security Department,country
2016-09-26,2017-05-21,Notice,Six-Month Extension of Temporary Protected Status Benefits for Orderly Transition Before Termination of Guinea's Designation for Temporary Protected Status,2016-23244,81 FR 66064,https://www.federalregister.gov/documents/2016/09/26/2016-23244/six-month-extension-of-temporary-protected-status-benefits-for-orderly-transition-before-termination,https://www.govinfo.gov/content/pkg/FR-2016-09-26/pdf/2016-23244.pdf,Homeland Security Department,country
2016-09-26,2017-05-21,Notice,Six-Month Extension of Temporary Protected Status Benefits for Orderly Transition Before Termination of Sierra Leone's Designation for Temporary Protected Status,2016-23249,81 FR 66054,https://www.federalregister.gov/documents/2016/09/26/2016-23249/six-month-extension-of-temporary-protected-status-benefits-for-orderly-transition-before-termination,https://www.govinfo.gov/content/pkg/FR-2016-09-26/pdf/2016-23249.pdf,Homeland Security Department,country
2016-09-26,2017-05-21,Notice,Six-Month Extension of Temporary Protected Status Benefits for Orderly Transition Before Termination of Liberia's Designation for Temporary Protected Status,2016-23250,81 FR 66059,https://www.federalregister.gov/documents/2016/09/26/2016-23250/six-month-extension-of-temporary-protected-status-benefits-for-orderly-transition-before-termination,https://www.govinfo.gov/content/pkg/FR-2016-09-26/pdf/2016-23250.pdf,Homeland Security Department,country
2016-10-26,2016-12-25,Notice,Extension of the Designation of Nepal for Temporary Protected Status,2016-25907,81 FR 74470,https://www.federalregister.gov/documents/2016/10/26/2016-25907/extension-of-the-designation-of-nepal-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2016-10-26/pdf/2016-25907.pdf,Homeland Security Department,country
2017-01-04,2017-03-04,Notice,Extension and Redesignation of the Republic of Yemen for Temporary Protected Status,2016-31003,82 FR 859,https://www.federalregister.gov/documents/2017/01/04/2016-31003/extension-and-redesignation-of-the-republic-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-01-04/pdf/2016-31003.pdf,Homeland Security Department,country
2017-01-17,2017-03-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status,2016-31861,82 FR 4905,https://www.federalregister.gov/documents/2017/01/17/2016-31861/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2016-31861.pdf,Homeland Security Department,country
2017-03-06,,Notice,Automatic Extension of Employment Authorization Documentation for Beneficiaries Under El Salvador's Designation for Temporary Protected Status,2017-04454,82 FR 12629,https://www.federalregister.gov/documents/2017/03/06/2017-04454/automatic-extension-of-employment-authorization-documentation-for-beneficiaries-under-el-salvadors,https://www.govinfo.gov/content/pkg/FR-2017-03-06/pdf/2017-04454.pdf,Homeland Security Department,country
2017-05-24,2017-07-23,Notice,Extension of the Designation of Haiti for Temporary Protected Status,2017-10749,82 FR 23830,https://www.federalregister.gov/documents/2017/05/24/2017-10749/extension-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-05-24/pdf/2017-10749.pdf,Homeland Security Department,country
2017-09-21,2017-11-03,Notice,Extension of South Sudan for Temporary Protected Status,2017-20174,82 FR 44205,https://www.federalregister.gov/documents/2017/09/21/2017-20174/extension-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-09-21/pdf/2017-20174.pdf,Homeland Security Department,country
2017-10-11,2018-11-02,Notice,Termination of the Designation of Sudan for Temporary Protected Status,2017-22074,82 FR 47228,https://www.federalregister.gov/documents/2017/10/11/2017-22074/termination-of-the-designation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-10-11/pdf/2017-22074.pdf,Homeland Security Department,country
2017-12-15,2018-01-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status,2017-27140,82 FR 59630,https://www.federalregister.gov/documents/2017/12/15/2017-27140/extension-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-12-15/pdf/2017-27140.pdf,Homeland Security Department,country
2017-12-15,2019-01-05,Notice,Termination of the Designation of Nicaragua for Temporary Protected Status,2017-27141,82 FR 59636,https://www.federalregister.gov/documents/2017/12/15/2017-27141/termination-of-the-designation-of-nicaragua-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2017-12-15/pdf/2017-27141.pdf,Homeland Security Department,country
2018-01-18,2019-09-09,Notice,Termination of the Designation of El Salvador for Temporary Protected Status,2018-00885,83 FR 2654,https://www.federalregister.gov/documents/2018/01/18/2018-00885/termination-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-01-18/pdf/2018-00885.pdf,Homeland Security Department,country
2018-01-18,2019-07-22,Notice,Termination of the Designation of Haiti for Temporary Protected Status,2018-00886,83 FR 2648,https://www.federalregister.gov/documents/2018/01/18/2018-00886/termination-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-01-18/pdf/2018-00886.pdf,Homeland Security Department,country
2018-01-22,,Notice,Termination of the Designation of El Salvador for Temporary Protected Status,C1-2018-00885,83 FR 3014,https://www.federalregister.gov/documents/2018/01/22/C1-2018-00885/termination-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-01-22/pdf/C1-2018-00885.pdf,Homeland Security Department,country
2018-03-05,2018-04-01,Notice,Extension of the Designation of Syria for Temporary Protected Status,2018-04454,83 FR 9329,https://www.federalregister.gov/documents/2018/03/05/2018-04454/extension-of-the-designation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-03-05/pdf/2018-04454.pdf,Homeland Security Department,country
2018-05-22,2019-06-24,Notice,Termination of the Designation of Nepal for Temporary Protected Status,2018-10868,83 FR 23705,https://www.federalregister.gov/documents/2018/05/22/2018-10868/termination-of-the-designation-of-nepal-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-05-22/pdf/2018-10868.pdf,Homeland Security Department,country
2018-06-05,2020-01-05,Notice,Termination of the Designation of Honduras for Temporary Protected Status,2018-12161,83 FR 26074,https://www.federalregister.gov/documents/2018/06/05/2018-12161/termination-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-06-05/pdf/2018-12161.pdf,Homeland Security Department,country
2018-08-14,2018-09-04,Notice,Extension of the Designation of Yemen for Temporary Protected Status,2018-17556,83 FR 40307,https://www.federalregister.gov/documents/2018/08/14/2018-17556/extension-of-the-designation-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-08-14/pdf/2018-17556.pdf,Homeland Security Department,country
2018-08-27,2018-09-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status,2018-18444,83 FR 43695,https://www.federalregister.gov/documents/2018/08/27/2018-18444/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2018-08-27/pdf/2018-18444.pdf,Homeland Security Department,country
2018-10-31,,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for Sudan, Nicaragua, Haiti, and El Salvador",2018-23892,83 FR 54764,https://www.federalregister.gov/documents/2018/10/31/2018-23892/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-sudan,https://www.govinfo.gov/content/pkg/FR-2018-10-31/pdf/2018-23892.pdf,Homeland Security Department,country
2019-03-01,,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for Sudan, Nicaragua, Haiti, and El Salvador",2019-03783,84 FR 7103,https://www.federalregister.gov/documents/2019/03/01/2019-03783/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-sudan,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03783.pdf,Homeland Security Department,country
2019-04-05,2019-05-03,Notice,Extension of the Designation of South Sudan for Temporary Protected Status,2019-06746,84 FR 13688,https://www.federalregister.gov/documents/2019/04/05/2019-06746/extension-of-the-designation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2019-04-05/pdf/2019-06746.pdf,Homeland Security Department,country
2019-05-10,,Notice,Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for Nepal and Honduras,2019-09635,84 FR 20647,https://www.federalregister.gov/documents/2019/05/10/2019-09635/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-nepal,https://www.govinfo.gov/content/pkg/FR-2019-05-10/pdf/2019-09635.pdf,Homeland Security Department,country
2019-05-22,,Notice,Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for Nepal and Honduras; Correction,2019-10676,84 FR 23578,https://www.federalregister.gov/documents/2019/05/22/2019-10676/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-nepal,https://www.govinfo.gov/content/pkg/FR-2019-05-22/pdf/2019-10676.pdf,Homeland Security Department,country
2019-09-23,2019-10-01,Notice,Extension of the Designation of Syria for Temporary Protected Status,2019-20457,84 FR 49751,https://www.federalregister.gov/documents/2019/09/23/2019-20457/extension-of-the-designation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2019-09-23/pdf/2019-20457.pdf,Homeland Security Department,country
2019-11-04,2021-01-04,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for El Salvador, Haiti, Honduras, Nepal, Nicaragua, and Sudan",2019-24047,84 FR 59403,https://www.federalregister.gov/documents/2019/11/04/2019-24047/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-el,https://www.govinfo.gov/content/pkg/FR-2019-11-04/pdf/2019-24047.pdf,Homeland Security Department,country
2020-03-02,2020-03-04,Notice,Extension of the Designation of Yemen for Temporary Protected Status,2020-04355,85 FR 12313,https://www.federalregister.gov/documents/2020/03/02/2020-04355/extension-of-the-designation-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2020-03-02/pdf/2020-04355.pdf,Homeland Security Department,country
2020-03-11,2020-03-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status,2020-04976,85 FR 14229,https://www.federalregister.gov/documents/2020/03/11/2020-04976/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2020-03-11/pdf/2020-04976.pdf,Homeland Security Department,country
2020-11-02,2020-11-03,Notice,Extension of the Designation of South Sudan for Temporary Protected Status,2020-24238,85 FR 69344,https://www.federalregister.gov/documents/2020/11/02/2020-24238/extension-of-the-designation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2020-11-02/pdf/2020-24238.pdf,Homeland Security Department,country
2020-12-09,,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for El Salvador, Haiti, Nicaragua, Sudan, Honduras, and Nepal",2020-27154,85 FR 79208,https://www.federalregister.gov/documents/2020/12/09/2020-27154/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-el,https://www.govinfo.gov/content/pkg/FR-2020-12-09/pdf/2020-27154.pdf,Homeland Security Department,country
2021-03-09,2021-03-09,Notice,Designation of Venezuela for Temporary Protected Status and Implementation of Employment Authorization for Venezuelans Covered by Deferred Enforced Departure,2021-04951,86 FR 13574,https://www.federalregister.gov/documents/2021/03/09/2021-04951/designation-of-venezuela-for-temporary-protected-status-and-implementation-of-employment,https://www.govinfo.gov/content/pkg/FR-2021-03-09/pdf/2021-04951.pdf,Homeland Security Department,country
2021-03-19,2021-03-31,Notice,Extension and Redesignation of Syria for Temporary Protected Status,2021-05715,86 FR 14946,https://www.federalregister.gov/documents/2021/03/19/2021-05715/extension-and-redesignation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2021-03-19/pdf/2021-05715.pdf,Homeland Security Department,country
2021-03-24,,Notice,Designation of Venezuela for Temporary Protected Status and Implementation of Employment Authorization for Venezuelans Covered by Deferred Enforced Departure; Correction,2021-06100,86 FR 15694,https://www.federalregister.gov/documents/2021/03/24/2021-06100/designation-of-venezuela-for-temporary-protected-status-and-implementation-of-employment,https://www.govinfo.gov/content/pkg/FR-2021-03-24/pdf/2021-06100.pdf,Homeland Security Department,country
2021-05-25,2021-05-25,Notice,Designation of Burma (Myanmar) for Temporary Protected Status,2021-11075,86 FR 28132,https://www.federalregister.gov/documents/2021/05/25/2021-11075/designation-of-burma-myanmar-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2021-05-25/pdf/2021-11075.pdf,Homeland Security Department,country
2021-07-09,2021-09-04,Notice,Extension and Redesignation of Yemen for Temporary Protected Status,2021-14670,86 FR 36295,https://www.federalregister.gov/documents/2021/07/09/2021-14670/extension-and-redesignation-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2021-07-09/pdf/2021-14670.pdf,Homeland Security Department,country
2021-07-22,2021-09-18,Notice,Extension and Redesignation of Somalia for Temporary Protected Status,2021-15595,86 FR 38744,https://www.federalregister.gov/documents/2021/07/22/2021-15595/extension-and-redesignation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2021-07-22/pdf/2021-15595.pdf,Homeland Security Department,country
2021-08-03,2021-08-03,Notice,Designation of Haiti for Temporary Protected Status,2021-16481,86 FR 41863,https://www.federalregister.gov/documents/2021/08/03/2021-16481/designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2021-08-03/pdf/2021-16481.pdf,Homeland Security Department,country
2021-08-04,,Notice,"Extension of Initial Registration Periods for New Temporary Protected Status Applicants Under the Designations for Venezuela, Syria, and Burma; Correction to the Notice on the Designation of Venezuela for Temporary Protected Status and Implementation of Employment Authorization for Venezuelans Covered by Deferred Enforced Departure",2021-16611,86 FR 41986,https://www.federalregister.gov/documents/2021/08/04/2021-16611/extension-of-initial-registration-periods-for-new-temporary-protected-status-applicants-under-the,https://www.govinfo.gov/content/pkg/FR-2021-08-04/pdf/2021-16611.pdf,Homeland Security Department,country
2021-09-10,,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for El Salvador, Haiti, Nicaragua, Sudan, Honduras, and Nepal",2021-19617,86 FR 50725,https://www.federalregister.gov/documents/2021/09/10/2021-19617/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-el,https://www.govinfo.gov/content/pkg/FR-2021-09-10/pdf/2021-19617.pdf,Homeland Security Department,country
2021-09-22,,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for El Salvador, Haiti, Nicaragua, Sudan, Honduras, and Nepal",2021-20481,86 FR 52694,https://www.federalregister.gov/documents/2021/09/22/2021-20481/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-el,https://www.govinfo.gov/content/pkg/FR-2021-09-22/pdf/2021-20481.pdf,Homeland Security Department,country
2022-03-03,2022-05-03,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status,2022-04573,87 FR 12190,https://www.federalregister.gov/documents/2022/03/03/2022-04573/extension-and-redesignation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-03-03/pdf/2022-04573.pdf,Homeland Security Department,country
2022-04-19,,Notice,Designation of Sudan for Temporary Protected Status,2022-08363,87 FR 23202,https://www.federalregister.gov/documents/2022/04/19/2022-08363/designation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-04-19/pdf/2022-08363.pdf,Homeland Security Department,country
2022-04-19,2022-04-19,Notice,Designation of Ukraine for Temporary Protected Status,2022-08390,87 FR 23211,https://www.federalregister.gov/documents/2022/04/19/2022-08390/designation-of-ukraine-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-04-19/pdf/2022-08390.pdf,Homeland Security Department,country
2022-05-10,,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status-Correction,2022-10018,87 FR 28030,https://www.federalregister.gov/documents/2022/05/10/2022-10018/extension-and-redesignation-of-south-sudan-for-temporary-protected-status-correction,https://www.govinfo.gov/content/pkg/FR-2022-05-10/pdf/2022-10018.pdf,Homeland Security Department,country
2022-05-20,2022-05-20,Notice,Designation of Afghanistan for Temporary Protected Status,2022-10923,87 FR 30976,https://www.federalregister.gov/documents/2022/05/20/2022-10923/designation-of-afghanistan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-05-20/pdf/2022-10923.pdf,Homeland Security Department,country
2022-06-07,2022-06-07,Notice,Designation of Cameroon for Temporary Protected Status,2022-12229,87 FR 34706,https://www.federalregister.gov/documents/2022/06/07/2022-12229/designation-of-cameroon-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-06-07/pdf/2022-12229.pdf,Homeland Security Department,country
2022-08-01,2022-10-01,Notice,Extension and Redesignation of Syria for Temporary Protected Status,2022-16508,87 FR 46982,https://www.federalregister.gov/documents/2022/08/01/2022-16508/extension-and-redesignation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-08-01/pdf/2022-16508.pdf,Homeland Security Department,country
2022-08-19,,Notice,Extension and Redesignation of Syria for Temporary Protected Status-Correction,2022-17931,87 FR 51118,https://www.federalregister.gov/documents/2022/08/19/2022-17931/extension-and-redesignation-of-syria-for-temporary-protected-status-correction,https://www.govinfo.gov/content/pkg/FR-2022-08-19/pdf/2022-17931.pdf,Homeland Security Department,country
2022-09-08,2022-09-10,Notice,Extension of the Designation of Venezuela for Temporary Protected Status,2022-19527,87 FR 55024,https://www.federalregister.gov/documents/2022/09/08/2022-19527/extension-of-the-designation-of-venezuela-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-09-08/pdf/2022-19527.pdf,Homeland Security Department,country
2022-09-27,2022-11-26,Notice,Extension and Redesignation of Burma (Myanmar) for Temporary Protected Status,2022-20784,87 FR 58515,https://www.federalregister.gov/documents/2022/09/27/2022-20784/extension-and-redesignation-of-burma-myanmar-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-09-27/pdf/2022-20784.pdf,Homeland Security Department,country
2022-11-16,,Notice,"Continuation of Documentation for Beneficiaries of Temporary Protected Status Designations for El Salvador, Haiti, Nicaragua, Sudan, Honduras, and Nepal",2022-24984,87 FR 68717,https://www.federalregister.gov/documents/2022/11/16/2022-24984/continuation-of-documentation-for-beneficiaries-of-temporary-protected-status-designations-for-el,https://www.govinfo.gov/content/pkg/FR-2022-11-16/pdf/2022-24984.pdf,Homeland Security Department,country
2022-12-12,2022-12-12,Notice,Designation of Ethiopia for Temporary Protected Status,2022-26880,87 FR 76074,https://www.federalregister.gov/documents/2022/12/12/2022-26880/designation-of-ethiopia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2022-12-12/pdf/2022-26880.pdf,Homeland Security Department,country
2023-01-03,2023-03-04,Notice,Extension and Redesignation of Yemen for Temporary Protected Status,2022-28283,88 FR 94,https://www.federalregister.gov/documents/2023/01/03/2022-28283/extension-and-redesignation-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-01-03/pdf/2022-28283.pdf,Homeland Security Department,country
2023-01-26,2023-02-04,Notice,Extension and Redesignation of Haiti for Temporary Protected Status,2023-01586,88 FR 5022,https://www.federalregister.gov/documents/2023/01/26/2023-01586/extension-and-redesignation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-01-26/pdf/2023-01586.pdf,Homeland Security Department,country
2023-03-13,2023-03-18,Notice,Extension and Redesignation of Somalia for Temporary Protected Status,2023-04735,88 FR 15434,https://www.federalregister.gov/documents/2023/03/13/2023-04735/extension-and-redesignation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-03-13/pdf/2023-04735.pdf,Homeland Security Department,country
2023-06-21,2024-01-06,Notice,Reconsideration and Rescission of Termination of the Designation of Honduras for Temporary Protected Status; Extension of the Temporary Protected Status Designation for Honduras,2023-13017,88 FR 40304,https://www.federalregister.gov/documents/2023/06/21/2023-13017/reconsideration-and-rescission-of-termination-of-the-designation-of-honduras-for-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2023-06-21/pdf/2023-13017.pdf,Homeland Security Department,country
2023-06-21,2023-09-10,Notice,Reconsideration and Rescission of Termination of the Designation of El Salvador for Temporary Protected Status; Extension of the Temporary Protected Status Designation for El Salvador,2023-13018,88 FR 40282,https://www.federalregister.gov/documents/2023/06/21/2023-13018/reconsideration-and-rescission-of-termination-of-the-designation-of-el-salvador-for-temporary,https://www.govinfo.gov/content/pkg/FR-2023-06-21/pdf/2023-13018.pdf,Homeland Security Department,country
2023-06-21,2023-12-25,Notice,Reconsideration and Rescission of Termination of the Designation of Nepal for Temporary Protected Status; Extension of the Temporary Protected Status Designation for Nepal,2023-13019,88 FR 40317,https://www.federalregister.gov/documents/2023/06/21/2023-13019/reconsideration-and-rescission-of-termination-of-the-designation-of-nepal-for-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2023-06-21/pdf/2023-13019.pdf,Homeland Security Department,country
2023-06-21,2023-01-06,Notice,Reconsideration and Rescission of Termination of the Designation of Nicaragua for Temporary Protected Status; Extension of the Temporary Protected Status Designation for Nicaragua,2023-13246,88 FR 40294,https://www.federalregister.gov/documents/2023/06/21/2023-13246/reconsideration-and-rescission-of-termination-of-the-designation-of-nicaragua-for-temporary,https://www.govinfo.gov/content/pkg/FR-2023-06-21/pdf/2023-13246.pdf,Homeland Security Department,country
2023-08-21,2023-10-20,Notice,Extension and Redesignation of Ukraine for Temporary Protected Status,2023-17875,88 FR 56872,https://www.federalregister.gov/documents/2023/08/21/2023-17875/extension-and-redesignation-of-ukraine-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-08-21/pdf/2023-17875.pdf,Homeland Security Department,country
2023-08-21,2023-10-20,Notice,Extension and Redesignation of Sudan for Temporary Protected Status,2023-17877,88 FR 56864,https://www.federalregister.gov/documents/2023/08/21/2023-17877/extension-and-redesignation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-08-21/pdf/2023-17877.pdf,Homeland Security Department,country
2023-09-06,2023-11-04,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status,2023-19312,88 FR 60971,https://www.federalregister.gov/documents/2023/09/06/2023-19312/extension-and-redesignation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-09-06/pdf/2023-19312.pdf,Homeland Security Department,country
2023-09-11,,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status,C1-2023-19312,88 FR 62386,https://www.federalregister.gov/documents/2023/09/11/C1-2023-19312/extension-and-redesignation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-09-11/pdf/C1-2023-19312.pdf,Homeland Security Department,country
2023-09-25,2023-11-21,Notice,Extension and Redesignation of Afghanistan for Temporary Protected Status,2023-20791,88 FR 65728,https://www.federalregister.gov/documents/2023/09/25/2023-20791/extension-and-redesignation-of-afghanistan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-09-25/pdf/2023-20791.pdf,Homeland Security Department,country
2023-10-03,2023-10-03,Notice,Extension and Redesignation of Venezuela for Temporary Protected Status,2023-21865,88 FR 68130,https://www.federalregister.gov/documents/2023/10/03/2023-21865/extension-and-redesignation-of-venezuela-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-10-03/pdf/2023-21865.pdf,Homeland Security Department,country
2023-10-10,2023-12-08,Notice,Extension and Redesignation of Cameroon for Temporary Protected Status,2023-22375,88 FR 69945,https://www.federalregister.gov/documents/2023/10/10/2023-22375/extension-and-redesignation-of-cameroon-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2023-10-10/pdf/2023-22375.pdf,Homeland Security Department,country
2023-11-17,,Notice,Extension and Redesignation of Venezuela for Temporary Protected Status-Correction,2023-25507,88 FR 80327,https://www.federalregister.gov/documents/2023/11/17/2023-25507/extension-and-redesignation-of-venezuela-for-temporary-protected-status-correction,https://www.govinfo.gov/content/pkg/FR-2023-11-17/pdf/2023-25507.pdf,Homeland Security Department,country
