state,agency,county,model,signed
Pennsylvania,Milton Borough Police Department,Northumberland County,TFM,2026-05-09
Pennsylvania,Minersville Borough Police Department,Schuylkill County,TFM,2026-05-17
Pennsylvania,Montour County Sheriff's Office,Montour County,TFM,2025-06-12
Pennsylvania,Montour Township Police Department,Columbia County,TFM,2026-07-20
Pennsylvania,Montoursville Borough Police Department,Lycoming County,TFM,2026-04-08
Pennsylvania,Mount Carmel Borough Police Department,Northumberland County,TFM,2026-05-24
Pennsylvania,Mount Carmel Township Police Department,Northumberland County,TFM,2026-03-17
Pennsylvania,Mount Holly Springs Borough Police Department,Cumberland County,TFM,2026-02-14
Pennsylvania,Muncy Borough Police Department,Lycoming County,TFM,2026-04-17
Pennsylvania,Nesquehoning Borough Police Department,Carbon County,TFM,2026-07-07
Pennsylvania,New Sewickley Township Police Department,#N/A,TFM,2025-07-02
Pennsylvania,Northern York County Regional Police Department,York County,TFM,2026-04-25
Pennsylvania,Northwest Regional Police Department,#N/A,TFM,2025-04-23
Pennsylvania,Orange Township Police Department,Columbia County,TFM,2026-03-06
Pennsylvania,Orwigsburg Borough Police Department,Schuylkill County,TFM,2026-03-25
Pennsylvania,Pennsylvania State Constable Office Honey Brook Precinct 1,Chester County,TFM,2025-10-17
Pennsylvania,Pennsylvania State Constable's Office So Middleton Twp,Cumberland County,TFM,2025-08-28
Pennsylvania,"Pennsylvania State Constable's Office, Cooke Township",Cumberland County,TFM,2025-08-28
Pennsylvania,Pitcairn Borough Police Department,Allegheny County,TFM,2026-07-13
Pennsylvania,Port Carbon Borough Police Department,Schuylkill County,TFM,2026-05-28
Pennsylvania,Pottsville City Police Department,Schuylkill County,TFM,2026-05-14
Pennsylvania,Preston Township Constable's Office,#N/A,TFM,2025-05-08
Pennsylvania,Raccoon Township Police Department,Beaver County,TFM,2026-02-25
Pennsylvania,Reynoldsville Borough Police Department,Jefferson County,TFM,2025-12-12
Pennsylvania,Riverside Borough Police Department,Northumberland County,TFM,2026-05-18
Pennsylvania,Rochester Borough Police Department,Beaver County,TFM,2026-05-14
Pennsylvania,Salem Township Police Department,Luzerne County,TFM,2026-03-13
Pennsylvania,Sayre Borough Police Department,Bradford County,TFM,2026-04-23
Pennsylvania,Schuylkill County Sheriff's Office,Schuylkill County,TFM,2026-01-26
Pennsylvania,Schuylkill Haven Borough Police Department,Schuylkill County,TFM,2026-04-05
Pennsylvania,Scott Township Police Department,Columbia County,TFM,2026-05-21
Pennsylvania,Sewickley Township Constable's Office,#N/A,TFM,2025-05-08
Pennsylvania,Shamokin City Police Department,Northumberland County,TFM,2026-03-25
Pennsylvania,Shenandoah Borough Police Department,Schuylkill County,TFM,2026-02-25
Pennsylvania,Shohola Township Constable's Office,Pike County,TFM,2026-02-18
Pennsylvania,Somerset County District Attorney's Office,Somerset County,TFM,2025-08-28
Pennsylvania,South Centre Township Police Department,Columbia County,TFM,2026-05-13
Pennsylvania,South Lebanon Township Police Department,Lebanon County,TFM,2026-02-10
Pennsylvania,South Londonderry Township Police Department,Lebanon County,TFM,2026-05-04
Pennsylvania,South Williamsport Borough Police Department,Lycoming County,TFM,2026-05-12
Pennsylvania,"Southhampton Twp. Cumberland City, Constables Office",Cumberland County,TFM,2025-09-09
Pennsylvania,Springdale Borough Police Department,Allegheny County,TFM,2025-11-06
Pennsylvania,Stowe Township Police Department,Allegheny County,TFM,2025-12-11
Pennsylvania,Summerhill Township Police Department,Cambria County,TFM,2026-07-20
Pennsylvania,Sunbury City Police Department,Northumberland County,TFM,2026-05-09
Pennsylvania,Susquehanna Regional Police Department,Lancaster County,TFM,2025-09-09
Pennsylvania,Troy Township PA State Constable,Bradford County,TFM,2025-09-09
Pennsylvania,Union Township Police Department,Washington County,TFM,2025-11-04
Pennsylvania,Washington County Sheriff's Office,Washington County,TFM,2025-06-18
Pennsylvania,Weatherly Borough Police Department,Carbon County,TFM,2026-05-28
Pennsylvania,West Hazleton Borough Police Department,Luzerne County,TFM,2026-03-19
Pennsylvania,West Mahanoy Township Police Department,Schuylkill County,TFM,2026-05-13
Pennsylvania,West York Borough Police Department,York County,TFM,2025-08-04
Pennsylvania,Wyoming County District Attorney's Office,Wyoming County,TFM,2026-04-13
Pennsylvania,York County Regional Police Department,York County,TFM,2026-03-21
South Carolina,Anderson County Sheriff's Office,Anderson County,WSO,2025-06-12
South Carolina,Barnwell Police Department,Barnwell County,TFM,2026-05-09
South Carolina,Batesburg-Leesville Police Department,Lexington County,TFM,2026-04-27
South Carolina,Beaufort County Sheriff's Office,Beaufort County,TFM,2025-07-31
South Carolina,Berkeley County Sheriff's Office,Berkeley County,TFM,2025-05-08
South Carolina,Berkeley County Sheriff's Office,Berkeley County,WSO,2025-05-08
South Carolina,Bowman Police Department,Orangeburg County,TFM,2026-04-22
South Carolina,Branchville Police Department,Orangeburg County,TFM,2026-06-25
South Carolina,Burnettown Police Department,Aiken County,TFM,2026-05-26
South Carolina,Charleston County Sheriff's Office,Charleston County,WSO,2025-03-10
South Carolina,Chester County Sheriff's Office,Chester County,TFM,2025-06-12
South Carolina,Chester County Sheriff's Office,Chester County,WSO,2025-03-10
South Carolina,Clinton Police Department,Laurens County,TFM,2026-01-26
South Carolina,Coward Police Department,#N/A,TFM,2025-06-13
South Carolina,Dorchester County Sheriff's Office,Dorchester County,WSO,2025-06-12
South Carolina,Duncan Police Department,#N/A,TFM,2025-06-11
South Carolina,Elloree Police Department,Orangeburg County,TFM,2026-01-07
South Carolina,Eutawville Police Department,Orangeburg County,TFM,2025-11-18
South Carolina,Gaston Police Department,Lexington County,TFM,2025-12-11
South Carolina,Georgetown County Sheriff's Office,Georgetown County,TFM,2025-07-15
South Carolina,Georgetown County Sheriff's Office,Georgetown County,WSO,2025-07-02
South Carolina,Greenville County Sheriff's Office,Greenville County,WSO,2025-03-21
South Carolina,Hampton County Sheriff's Office,Hampton County,TFM,2026-07-20
South Carolina,Hampton County Sheriff's Office,Hampton County,WSO,2026-07-20
South Carolina,Harleyville Police Department,Dorchester County,TFM,2026-02-23
South Carolina,Holly Hill Police Department,#N/A,TFM,2025-06-16
South Carolina,Horry County Sheriff's Office,Horry County,JEM,2020-06-09
South Carolina,Jasper County Sheriff's Office,Jasper County,TFM,2026-03-08
South Carolina,Kershaw County Sheriff's Office,Kershaw County,TFM,2025-04-10
South Carolina,Lancaster County Sheriff's Office,Lancaster County,WSO,2025-04-02
South Carolina,Lexington County Sheriff's Department,Lexington County,JEM,2020-06-08
South Carolina,McCormick County Sheriff's Office,McCormick County,WSO,2025-06-25
South Carolina,Newberry County Sheriff's Office,Newberry County,WSO,2025-06-25
South Carolina,North Police Department,Orangeburg County,TFM,2026-02-18
South Carolina,Oconee County Sheriff's Office,Oconee County,WSO,2025-03-27
South Carolina,Olanta Police Department,Florence County,TFM,2025-09-22
South Carolina,Pelion Police Department,Lexington County,TFM,2025-12-18
South Carolina,Perry Police Department,Aiken County,TFM,2026-03-24
South Carolina,Pickens County Sheriff's Office,Pickens County,TFM,2025-05-16
South Carolina,Pickens County Sheriff's Office,Pickens County,WSO,2025-05-22
South Carolina,Pine Ridge Police Department,Lexington County,TFM,2026-04-20
South Carolina,Ridge Spring Police Department,Saluda County,TFM,2026-04-30
South Carolina,Ridgeway Police Department,Fairfield County,TFM,2026-02-23
South Carolina,Salley Police Department,Aiken County,TFM,2026-03-25
South Carolina,Santee Police Department,Orangeburg County,TFM,2025-12-16
South Carolina,Scranton Police Department,Florence County,TFM,2025-07-31
South Carolina,South Carolina Department of Public Safety,#NA,TFM,2025-08-28
South Carolina,South Carolina Law Enforcement Division,#N/A,TFM,2025-03-07
South Carolina,Spartanburg County Sheriff's Office,Spartanburg County,WSO,2025-04-02
South Carolina,Union County Sheriff's Office,Union County,TFM,2025-06-12
South Carolina,Union County Sheriff's Office,Union County,WSO,2025-06-12
South Carolina,Wagener Police Department,Aiken County,TFM,2026-06-18
South Carolina,Wellford Police Department,Spartanburg County,TFM,2026-07-03
South Carolina,Yemassee Police Department,Hampton County,TFM,2026-06-12
South Carolina,York County Sheriff's Office,York County,JEM,2020-06-09
South Dakota,Centerville Police Department,Turner County,TFM,2026-01-26
South Dakota,Hughes County Sheriff's Office,Hughes County,WSO,2025-03-07
South Dakota,Minnehaha County Sheriff's Office,Minnehaha County,WSO,2025-03-17
South Dakota,South Dakota Department of Corrections,#NA,JEM,2025-07-25
South Dakota,South Dakota Department of Corrections,#NA,WSO,2025-08-28
South Dakota,South Dakota Division of Criminal Investigation,#N/A,TFM,2025-06-11
South Dakota,South Dakota Highway Patrol,#N/A,TFM,2025-05-22
South Dakota,Viborg Police Department,Turner County,TFM,2026-03-28
Tennessee,Anderson County Sheriff's Office,Anderson County,WSO,2026-07-20
Tennessee,Bedford County Sheriff's Office,Bedford County,WSO,2026-02-18
Tennessee,Blount County Sheriff's Office,Blount County,TFM,2026-06-23
Tennessee,Blount County Sheriff's Office,Blount County,WSO,2026-06-23
Tennessee,Bradley County Constable District 1,Bradley County,TFM,2025-09-22
Tennessee,Bradley County Constable District 5,Bradley County,TFM,2026-06-02
Tennessee,Bradley County Constable District 6,Bradley County,TFM,2025-10-17
Tennessee,Bradley County Constable District 7,Bradley County,TFM,2025-09-09
Tennessee,Bradley County Sheriff's Office,Bradley County,JEM,2025-12-09
Tennessee,Carter County Sheriff's Office,Carter County,WSO,2025-11-04
Tennessee,Cheatham County Sheriff's Office,Cheatham County,TFM,2026-06-30
Tennessee,Cheatham County Sheriff's Office,Cheatham County,WSO,2026-06-30
Tennessee,Chester County Sheriff's Office,Chester County,TFM,2026-07-10
Tennessee,Chester County Sheriff's Office,Chester County,WSO,2026-07-10
Tennessee,Clay County Sheriff's Office,Clay County,WSO,2025-09-09
Tennessee,Cocke County Sheriff's Office,Cocke County,WSO,2025-12-12
Tennessee,Coffee County Sheriff's Office,Coffee County,WSO,2025-07-02
Tennessee,Coopertown Police Department,Robertson County,TFM,2026-07-20
Tennessee,Crockett County Sheriff's Office,Crockett County,TFM,2026-07-09
Tennessee,Crockett County Sheriff's Office,Crockett County,WSO,2026-07-09
Tennessee,Cumberland County Sheriff's Office,Cumberland County,WSO,2025-06-25
Tennessee,Dekalb County Sheriff's Office,Dekalb County,WSO,2025-11-06
Tennessee,Dickson County Sheriff's Office,Dickson County,WSO,2026-03-11
Tennessee,Dyer County Sheriff's Office,Dyer County,WSO,2025-07-02
Tennessee,Estill Springs Police Department,Franklin County,TFM,2026-01-07
Tennessee,Fentress County Sheriff's Office,Fentress County,TFM,2026-06-09
Tennessee,Fentress County Sheriff's Office,Fentress County,WSO,2026-06-09
Tennessee,Franklin County Sheriff's Office,Franklin County,JEM,2025-07-07
Tennessee,Franklin County Sheriff's Office,Franklin County,WSO,2025-10-17
Tennessee,Giles County Sheriff's Office,Giles County,WSO,2025-04-16
Tennessee,Grainger County Sheriff's Office,Grainger County,WSO,2025-06-17
Tennessee,Greenbrier Police Department,Robertson County,TFM,2026-05-04
Tennessee,Greene County Sheriff’s Office,Greene County,JEM,2020-06-09
Tennessee,Grundy County Constable District 3,Grundy County,TFM,2026-01-07
Tennessee,Grundy County Sheriff's Office,Grundy County,WSO,2025-07-07
Tennessee,Hamblen County Sheriff's Office,Hamblen County,WSO,2026-05-09
Tennessee,Hamilton County Sheriff's Office,Hamilton County,JEM,2025-03-17
Tennessee,Hancock County Sheriff's Office,Hancock County,WSO,2025-11-24
Tennessee,Hardin County Sheriff's Office,Hardin County,WSO,2026-05-12
Tennessee,Haywood County Sheriff's Office,Haywood County,WSO,2025-07-15
Tennessee,Hendersonville Police Department,Sumner County,TFM,2026-04-23
Tennessee,Hickman County Sheriff's Office,Hickman County,TFM,2026-07-20
Tennessee,Hickman County Sheriff's Office,Hickman County,WSO,2026-07-20
Tennessee,Humphreys County Sheriff's Office,Humphreys County,TFM,2026-05-28
Tennessee,Humphreys County Sheriff's Office,Humphreys County,WSO,2026-05-28
Tennessee,Jefferson County Sheriff's Office,Jefferson County,WSO,2025-11-04
Tennessee,Jellico Police Department,Campbell County,TFM,2026-04-30
Tennessee,Knox County Sheriff’s Office,Knox County,JEM,2020-06-08
Tennessee,Lawrence County Sheriff's Office,Lawrence County,JEM,2026-03-25
Tennessee,Lawrence County Sheriff's Office,Lawrence County,TFM,2026-03-25
Tennessee,Lawrence County Sheriff's Office,Lawrence County,WSO,2026-03-25
Tennessee,Lincoln County Sheriff's Office,Lincoln County,WSO,2025-11-14
Tennessee,Louden County Sheriff's Office,Louden County,TFM,2026-06-22
Tennessee,Louden County Sheriff's Office,Louden County,WSO,2026-06-22
Tennessee,Macon County Sheriff's Office,Macon County,TFM,2026-04-29
Tennessee,Macon County Sheriff's Office,Macon County,WSO,2025-06-03
Tennessee,Madison County Sheriff's Office,Madison County,TFM,2025-11-18
Tennessee,Madison County Sheriff's Office,Madison County,WSO,2025-07-02
Tennessee,Marion County Sheriff's Office,Marion County,WSO,2025-11-21
Tennessee,McMinn County Sheriff's Office,McMinn County,WSO,2025-07-18
Tennessee,McNairy County Sheriff's Office,McNairy County,WSO,2026-05-31
Tennessee,Meigs County Sheriff's Office,Meigs County,WSO,2026-01-26
Tennessee,Metropolitan Moore County Sheriff's Office,Moore County,WSO,2025-11-06
Tennessee,Monroe County Constable District 2,Monroe County,TFM,2025-09-22
Tennessee,Monroe County Sheriff's Office,Monroe County,JEM,2025-08-28
Tennessee,Montgomery County Sheriff's Office,Montgomery County,WSO,2025-10-17
Tennessee,Morgan County Sheriff's Office,Morgan County,JEM,2025-06-12
Tennessee,Mosheim Police Department,Greene County,TFM,2025-09-09
Tennessee,New Hope Police Department,Marion County,TFM,2026-06-29
Tennessee,Obion County Sheriff's Office,Obion County,WSO,2026-02-23
Tennessee,Overton County Sheriff's Office,Overton County,WSO,2026-02-23
Tennessee,Pickett County Sheriff's Office,Pickett County,TFM,2026-06-25
Tennessee,Pickett County Sheriff's Office,Pickett County,WSO,2026-06-25
Tennessee,Polk County Constable District 2,Polk County,TFM,2026-01-07
Tennessee,Polk County Constable District 4,Polk County,TFM,2025-11-04
Tennessee,Polk County Sheriff's Office,Polk County,WSO,2025-09-09
Tennessee,Putnam County Sheriff's Office,Putnam County,JEM,2025-02-24
Tennessee,Putnam County Sheriff's Office,Putnam County,TFM,2025-06-24
Tennessee,Robertson County Sheriff's Office,Robertson County,WSO,2025-07-07
Tennessee,Rutherford County Sheriff's Office,Rutherford County,WSO,2025-08-28
Tennessee,Sequatchie County Sheriff's Office,Sequatchie County,WSO,2026-01-26
Tennessee,Sevier County Constable District 5,Sevier County,TFM,2026-03-06
Tennessee,Sevier County Sheriff's Office,Sevier County,TFM,2025-11-06
Tennessee,Sevier County Sheriff's Office,Sevier County,WSO,2025-11-06
Tennessee,Sevierville Police Department,Sevier County,TFM,2025-11-04
Tennessee,Shelby County Sheriff's Office,Shelby County,WSO,2025-11-04
Tennessee,Smith County Sheriff's Office,Smith County,WSO,2026-06-30
Tennessee,Sparta Police Department,Sparta-White County,TFM,2025-08-06
Tennessee,Stewart County Sheriff's Office,Stewart County,WSO,2026-07-20
Tennessee,Sullivan County Constable District 1,Sullivan County,TFM,2026-05-21
Tennessee,Sullivan County Sheriff's Office,Sullivan County,TFM,2025-10-17
Tennessee,Sullivan County Sheriff's Office,Sullivan County,WSO,2025-05-22
Tennessee,Sumner County Sheriff's Office,Sumner County,WSO,2025-04-29
Tennessee,Tennessee Department of Corrections,#N/A,JEM,2025-06-16
Tennessee,Tennessee Department of Safety and Homeland Security,#N/A,TFM,2025-05-13
Tennessee,Tipton County Sheriff's Office,Tipton County,WSO,2026-06-30
Tennessee,Trousdale County Sheriff's Office,Trousdale County,WSO,2025-08-28
Tennessee,Unicoi County Sheriff's Office,Unicoi County,WSO,2025-12-02
Tennessee,Van Buren County Sheriff's Office,Van Buren County,WSO,2025-11-14
Tennessee,Warren County Sheriff's Office,Warren County,WSO,2025-09-09
Tennessee,Washington County Sheriff's Office,Washington County,WSO,2025-11-05
Tennessee,Weakley County Sheriff's Office,Weakley County,WSO,2026-01-26
Tennessee,Williamson County Sheriff's Office,Williamson County,WSO,2026-06-30
Tennessee,Wilson County Sheriff's Office,Wilson County,WSO,2026-01-26
Texas,Abilene Police Department,Taylor County,TFM,2026-06-07
Texas,Alice Police Department,Jim Wells County,TFM,2025-12-17
Texas,Alma City Police Department,Ellis County,TFM,2026-07-02
Texas,Anderson County Sheriff's Office,Anderson County,WSO,2025-06-18
Texas,Andrews County Sheriff's Office,Andrews County,WSO,2025-11-14
Texas,Angelina County Sheriff's Office,Angelina County,TFM,2026-06-17
Texas,Angelina County Sheriff's Office,Angelina County,WSO,2025-06-18
Texas,Aransas County Sheriff's Office,Aransas County,JEM,2020-06-08
Texas,Archer City Police Department,Archer County,TFM,2026-06-07
Texas,Archer County Sheriff's Office,Archer County,TFM,2026-02-20
Texas,Archer County Sheriff's Office,Archer County,WSO,2025-08-28
Texas,Armstrong County Sheriff's Office,Armstrong County,TFM,2026-01-26
Texas,Arp Police Department,Smith County,TFM,2025-11-14
Texas,Atascosa County Sheriff's Office,Atascosa County,TFM,2025-05-08
Texas,Austin County Sheriff's Office,Austin County,WSO,2025-04-16
Texas,Azle Police Department,Tarrant County,TFM,2026-04-22
Texas,Bailey County Sheriff's Office,Bailey County,WSO,2025-07-31
Texas,Balcones Heights Police Department,Bexar County,TFM,2026-01-07
Texas,Ballinger Police Department,Runnels County,TFM,2026-03-21
Texas,Bartonville Police Department,Denton County,TFM,2026-06-22
Texas,Bastrop County Sheriff's Office,Bastrop County,TFM,2025-12-08
Texas,Bastrop County Sheriff's Office,Bastrop County,WSO,2025-09-22
Texas,Baylor County Sheriff's Office,Baylor County,TFM,2026-03-08
Texas,Bayou Vista Police Department,Galveston County,TFM,2026-02-23
Texas,Bee County Sheriff's Office,Bee County,TFM,2026-01-07
Texas,Bee County Sheriff's Office,Bee County,WSO,2025-02-24
Texas,Beeville Police Department,Bee County,TFM,2026-03-25
Texas,Bell County Sheriff's Office,Bell County,WSO,2025-08-28
Texas,Benavides Police Department,Duval County,TFM,2026-06-03
Texas,Bertram Police Department,Burnet County,TFM,2026-03-28
Texas,Bexar County Constable Precinct 3,Bexar County,TFM,2025-12-12
Texas,Bexar County Sheriff's Office,Bexar County,WSO,2025-10-17
Texas,Big Sandy Police Departement,Upshur County,TFM,2025-11-06
Texas,Bishop Police Department,Nueces County,TFM,2026-06-29
Texas,Blanco County Constable Precinct 4,Blanco County,TFM,2026-04-07
Texas,Blanco County Sheriff's Office,Blanco County,JEM,2026-02-23
Texas,Bonham Police Department,Fannin County,TFM,2026-04-21
Texas,Borden County Sheriff's Office,Borden County,TFM,2025-12-02
Texas,Bosque County Sheriff's Office,Bosque County,WSO,2025-08-28
Texas,Bowie County Sheriff's Office,Bowie County,WSO,2025-10-17
Texas,Brazoria County Sheriff's Office,Brazoria County,WSO,2025-08-07
Texas,Brazos County Sheriff's Office,Brazos County,WSO,2026-03-11
Texas,Brewster County Sheriff's Office,Brewster County,WSO,2026-01-26
Texas,Brooks County Sheriff's Office,Brooks County,JEM,2025-06-11
Texas,Brooks County Sheriff's Office,Brooks County,TFM,2025-06-12
Texas,Brown County Sheriff's Office,Brown County,TFM,2026-06-07
Texas,Brown County Sheriff's Office,Brown County,WSO,2025-12-02
Texas,Bullard Police Department,Smith County,TFM,2026-01-08
Texas,Burleson County Sheriff's Office,Burleson County,WSO,2025-04-16
Texas,Burnet County Sheriff's Office,Burnet County,WSO,2019-11-05
Texas,Caldwell County Constable Precinct 2,Caldwell County,TFM,2026-02-10
Texas,Caldwell County Sheriff's Office,Caldwell County,TFM,2025-07-15
Texas,Caldwell County Sheriff's Office,Caldwell County,WSO,2025-09-09
Texas,Calhoun County Sheriff’s Office,Calhoun County,JEM,2020-03-13
Texas,Calhoun County Sheriff's Office,Calhoun County,TFM,2025-03-07
Texas,Calhoun County Sheriff's Office,Calhoun County,WSO,2025-02-24
Texas,Callahan County Sheriff's Office,Callahan County,TFM,2025-07-23
Texas,Callahan County Sheriff's Office,Callahan County,WSO,2025-07-23
Texas,Cameron County Sheriff's Office,Cameron County,WSO,2026-01-26
Texas,Carson County Sheriff's Office,Carson County,WSO,2025-08-28
Texas,Cass County Constable Precinct 3,Cass County,TFM,2026-06-18
Texas,Cass County Sheriff's Office,Cass County,JEM,2026-01-26
Texas,Cass County Sheriff's Office,Cass County,TFM,2026-02-10
Texas,Castro County Sheriff's Office,Castro County,WSO,2025-10-17
Texas,Castroville Police Department,Medina County,TFM,2026-06-09
Texas,Chambers County Sheriff’s Office,Chambers County,JEM,2020-06-09
Texas,Cherokee County Sheriff's Office,Cherokee County,TFM,2026-01-07
Texas,Childress County Constable Precinct 1,Childress County,TFM,2026-07-20
Texas,Childress County Sheriff's Office,Childress County,WSO,2025-06-30
Texas,China Grove Police Department,Bexar County,TFM,2026-03-11
Texas,Cisco Police Department,Eastland County,TFM,2026-03-24
Texas,Clay County Sheriff's Office,Clay County,TFM,2025-11-20
Texas,Clay County Sheriff's Office,Clay County,WSO,2025-11-20
Texas,Clifton Police Department,Bosque County,TFM,2025-09-22
Texas,Cochran County Sheriff's Office,Cochran County,TFM,2026-06-16
Texas,Coke County Sheriff's Office,Coke County,TFM,2025-05-13
Texas,Coleman County Sheriff's Office,Coleman County,TFM,2026-06-18
Texas,Collin County Sheriff's Office,Collin County,JEM,2026-01-26
Texas,Colorado County Sheriff's Office,Colorado County,JEM,2025-05-22
Texas,Colorado County Sheriff's Office,Colorado County,WSO,2025-12-02
Texas,Comal County Sheriff's Office,Comal County,WSO,2025-10-17
Texas,Comanche County Sheriff's Office,Comanche County,WSO,2025-11-04
Texas,Comanche Police Department,Comanche County,TFM,2026-04-20
Texas,Commerce Police Department,Hunt County,TFM,2026-03-24
Texas,Concho County Sheriff's Office,Concho County,TFM,2026-05-28
Texas,Cooke County Sheriff's Office,Cooke County,WSO,2025-07-24
Texas,Corrigan Police Department,Polk County,TFM,2026-03-28
Texas,Coryell County Sheriff's Office,Coryell County,TFM,2026-04-08
Texas,Crosby County Sheriff's Office,Crosby County,TFM,2026-06-17
Texas,Crosby County Sheriff's Office,Crosby County,WSO,2025-08-28
Texas,Cuero Police Department,DeWitt County,TFM,2025-12-10
Texas,Cumby Police Department,Hopkins County,TFM,2025-12-12
Texas,"Cut ""N"" Shoot Police Department",Montgomery County,TFM,2026-03-19
Texas,Dallam County Sheriff's Office,Dallam County,TFM,2025-11-04
Texas,Dallam County Sheriff's Office,Dallam County,WSO,2025-07-31
Texas,Dalworthington Gardens Department of Public Safety,Tarrant County,TFM,2026-05-28
Texas,Dawson County Sheriff's Office,Dawson County,TFM,2026-07-20
Texas,Dawson County Sheriff's Office,Dawson County,WSO,2026-05-31
Texas,Deaf Smith County Sheriff's Office,Deaf Smith County,WSO,2025-03-17
Texas,Delta County Constable Precinct 5,Delta County,TFM,2026-04-17
Texas,Delta County Sheriff's Office,Delta County,TFM,2026-02-14
Texas,Denton County Sheriff's Office,Denton County,JEM,2025-07-29
Texas,Denton County Sheriff's Office,Denton County,TFM,2026-01-26
Texas,Denver City Police Department,Yoakum County,TFM,2026-07-07
Texas,Devine Police Department,Medina County,TFM,2026-03-01
Texas,DeWitt County Sheriff’s Office,DeWitt County,JEM,2020-06-08
Texas,DeWitt County Sheriff’s Office,DeWitt County,WSO,2025-02-26
Texas,Dickens County Sheriff's Office,Dickens County,WSO,2025-06-25
Texas,Dimmit County Sheriff's Office,Dimmit County,JEM,2025-12-10
Texas,Dimmit County Sheriff's Office,Dimmit County,TFM,2025-12-10
Texas,Dimmit County Sheriff's Office,Dimmit County,WSO,2025-12-10
Texas,Dublin Police Department,Erath County,TFM,2026-03-13
Texas,Early Police Department,Brown County,TFM,2026-05-21
Texas,East Mountain Police Department,Upshur County,TFM,2026-01-26
Texas,Eastland County Sheriff's Office,Eastland County,TFM,2026-05-01
Texas,Eastland County Sheriff's Office,Eastland County,WSO,2025-09-22
Texas,Ector County Sheriff's Office,Ector County,WSO,2025-08-28
Texas,Edna Police Department,Jackson County,TFM,2026-04-25
Texas,Edwards County Constable Precinct 1,Edwards County,TFM,2026-05-21
Texas,Edwards County Sheriff's Office,Edwards County,TFM,2026-02-14
Texas,Electra Police Department,Wichita County,TFM,2026-05-21
Texas,Ellis County Sheriff's Office,Ellis County,JEM,2025-04-16
Texas,Erath County Sheriff's Office,Erath County,TFM,2026-04-17
Texas,Escobares Police Department,Starr County,TFM,2026-06-17
Texas,Falfurrias Police Department,Brooks County,TFM,2025-11-04
Texas,Falls County Sheriff's Office,Falls County,TFM,2025-03-25
Texas,Fannin County Constable Precinct 1,Fannin County,TFM,2026-06-12
Texas,Fannin County Constable Precinct 3,Fannin County,TFM,2026-04-05
Texas,Fannin County Criminal District Attorney's Office,Fannin County,TFM,2026-01-26
Texas,Fannin County Sheriff's Office,Fannin County,TFM,2026-01-26
Texas,Fayette County Sheriff's Office,Fayette County,TFM,2025-11-14
Texas,Fayette County Sheriff's Office,Fayette County,WSO,2025-03-21
Texas,Florence Police Department,Williamson County,TFM,2026-06-07
Texas,Floyd County Sheriff's Office,Floyd County,TFM,2026-06-07
Texas,Foard County Sheriff's Office,Foard County,TFM,2026-06-12
Texas,Fort Bend County Sheriff's Office,Fort Bend County,JEM,2025-05-28
Texas,Fort Bend County Sheriff's Office,Fort Bend County,WSO,2025-05-28
Texas,Franklin County Sheriff's Office,Franklin County,JEM,2025-05-20
Texas,Franklin County Sheriff's Office,Franklin County,TFM,2026-02-17
Texas,Franklin County Sheriff's Office,Franklin County,WSO,2026-06-09
Texas,Freer Police Department,Duval County,TFM,2025-11-06
Texas,Freestone County Constable Precinct 2,Freestone County,TFM,2025-12-08
Texas,Freestone County Constable Precinct 3,Freestone County,TFM,2026-01-26
Texas,Freestone County Sheriff's Office,Freestone County,TFM,2026-05-17
Texas,Freestone County Sheriff's Office,Freestone County,WSO,2026-05-28
Texas,Frio County Sheriff's Office,Frio County,JEM,2025-09-22
Texas,Frio County Sheriff's Office,Frio County,TFM,2025-09-22
Texas,Frio County Sheriff's Office,Frio County,WSO,2025-09-22
Texas,Gaines County Sheriff's Office,Gaines County,TFM,2026-05-17
Texas,Gaines County Sheriff's Office,Gaines County,WSO,2025-07-31
Texas,Galveston County Constable Precinct 2,Galveston County,TFM,2025-09-22
Texas,Galveston County Constable's Office Pct.1,Galveston County,TFM,2025-09-09
Texas,Galveston County Constable's Office Pct.4,Galveston County,TFM,2025-09-09
Texas,Galveston County Sheriff’s Office,Galveston County,JEM,2020-06-08
Texas,Galveston County Sheriff's Office,Galveston County,TFM,2025-07-23
Texas,Galveston County Sheriff's Office,Galveston County,WSO,2025-03-26
Texas,Garza County Sheriff's Office,Garza County,WSO,2025-07-07
Texas,Gillespie County Sheriff's Office,Gillespie County,TFM,2026-02-23
Texas,Goliad County Sheriff’s Office,Goliad County,JEM,2020-06-09
Texas,Goliad County Sheriff's Office,Goliad County,TFM,2025-02-18
Texas,Goliad County Sheriff's Office,Goliad County,WSO,2025-02-18
Texas,Gonzales County Sheriff's Office,Gonzales County,JEM,2026-02-10
Texas,Gonzales County Sheriff's Office,Gonzales County,TFM,2026-02-10
Texas,Gonzales County Sheriff's Office,Gonzales County,WSO,2025-04-02
Texas,Granite Shoals Police Department,Burnet County,TFM,2026-04-30
Texas,Gray County Sheriff's Office,Gray County,WSO,2025-08-28
Texas,Grayson County Sheriff’s Office,Grayson County,JEM,2025-03-21
Texas,Grayson County Sheriff's Office,Grayson County,WSO,2025-10-17
Texas,Gregg County Sheriff's Office,Gregg County,JEM,2025-03-17
Texas,Gregg County Sheriff's Office,Gregg County,TFM,2026-04-05
Texas,Grimes County Sheriff's Office,Grimes County,WSO,2026-02-25
