form,effective,published,amount,citation,fr_document,url,source_sentence
I-600,2004-04-30,2004-04-15,525,69 FR 20528,04-8699,https://www.federalregister.gov/documents/2004/04/15/04-8699/adjustment-of-the-immigration-benefit-application-fee-schedule,"* * * * * Form I-600. For filing a petition to classify an orphan as an immediate relative for issuance of an immigrant visa under section 204(a) of t [...] lf of orphans who are brothers or sisters, only one fee will be required.)--$525."
I-600,2007-07-30,2007-05-30,670,72 FR 29851,E7-10371,https://www.federalregister.gov/documents/2007/05/30/E7-10371/adjustment-of-the-immigration-and-naturalization-benefit-application-and-petition-fee-schedule,"* * * * * Form I-600. For filing a petition to classify an orphan as an immediate [[Page 29874]] relative for issuance of an immigrant visa under sect [...] lf of orphans who are brothers or sisters, only one fee will be required.)--$670."
I-612,2010-11-23,2010-09-24,585,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(BB) Application for Waiver of the Foreign Residence Requirement (under Section 212(e) of the Act) (Form I-612). For filing an application for waiver of the foreign residence requirement under section 212(e) of the Act: $585.
I-612,2016-12-23,2016-10-24,930,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(CC) Application for Waiver of the Foreign Residence Requirement (under Section 212(e) of the Immigration and Nationality Act, as Amended), Form I-612 [...] aiver of the foreign-residence requirement under section 212(e) of the Act: $930."
I-612,2024-04-01,2024-01-31,1100,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(36) Application for Waiver of the Foreign Residence Requirement (under Section 212(e) of the Immigration and Nationality Act, as Amended), Form I-612 [...] lies to apply for a waiver of the two-year foreign residence requirement. $1,100."
I-687,2010-11-23,2010-09-24,1130,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(CC) Application for Status as a Temporary Resident under Section 245A of the Act (Form I-687). For filing an application for status as a temporary resident under section 245A(a) of the Act: $1,130."
I-687,2016-12-23,2016-10-24,1130,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(DD) Application for Status as a Temporary Resident under Section 245A of the Immigration and Nationality Act, Form I-687. For filing an application for status as a temporary resident under section 245A(a) of the Act: $1,130."
I-687,2024-04-01,2024-01-31,1240,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(37) Application for Status as a Temporary Resident under Section 245A of the Immigration and Nationality Act, Form I-687. To apply for a waiver of in [...]  applicant for adjustment of status under section 245A or 210 of the Act. $1,240."
I-694,2010-11-23,2010-09-24,755,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(EE) Notice of Appeal of Decision under Sections 245A or 210 of the Act (or a petition under section 210A of the Act) (Form I-694). For appealing the  [...] ctions 210 or 245A of the Act, or a petition under section 210A of the Act: $755."
I-694,2016-12-23,2016-10-24,890,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(FF) Notice of Appeal of Decision under Sections 245A or 210 of the Immigration and Nationality Act (or a petition under section 210A of the Act), For [...] ctions 210 or 245A of the Act, or a petition under section 210A of the Act: $890."
I-694,2024-04-01,2024-01-31,1125,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(40) Notice of Appeal of Decision under Sections 245A or 210 of the [[Page 6389]] Immigration and Nationality Act, Form I-694. For appealing the denia [...] tion 210 or 245A of the Act, or a petition under section 210A of the Act: $1,125."
I-698,2010-11-23,2010-09-24,1020,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(FF) Application to Adjust Status from Temporary to Permanent Resident [[Page 58988]] (Under Section 245A of Public Law 99-603) (Form I-698). For fili [...] temporary to permanent resident (under section 245A of Public Law 99-603): $1020.
I-698,2016-12-23,2016-10-24,1670,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(GG) Application to Adjust Status from Temporary to Permanent Resident (Under Section 245A of Pub. L. 99-603), Form I-698. For filing an application t [...] m temporary to permanent resident (under section 245A of Pub. L. 99-603): $1,670."
I-698,2024-04-01,2024-01-31,1670,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(41) Application to Adjust Status from Temporary to Permanent Resident (Under Section 245A of the INA), Form I-698. For filing an application to adjus [...] m temporary to permanent resident (under section 245A of Pub. L. 99-603): $1,670."
I-751,2010-11-23,2010-09-24,505,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(GG) Petition to Remove the Conditions of Residence based on marriage (Form I-751). For filing a petition to remove the conditions on residence based on marriage: $505.
I-751,2016-12-23,2016-10-24,595,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(HH) Petition to Remove Conditions on Residence, Form I-751. For filing a petition to remove the conditions on residence based on marriage: $595."
I-751,2024-04-01,2024-01-31,750,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(43) Petition to Remove Conditions on Residence, Form I-751. For filing a petition to remove the conditions on residence based on marriage: $750."
I-765,2010-11-23,2010-09-24,380,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(HH) Application for Employment Authorization (Form I-765): $380;
I-765,2016-12-23,2016-10-24,410,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(II) Application for Employment Authorization, Form I-765. $410."
I-765,2024-04-01,2024-01-31,520,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(44) Application for Employment Authorization, Form I-765. To request employment authorization and/or an Employment Authorization Document (EAD). $520."
I-800A,2010-11-23,2010-09-24,720,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(JJ) Application for Determination of Suitability to Adopt a Child from a Convention Country (Form I-800A). For filing an application for determination of suitability to adopt a child from a Convention country: $720.
I-800A,2016-12-23,2016-10-24,775,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(KK) Application for Determination of Suitability to Adopt a Child from a Convention Country, Form I-800A. For filing an application for determination of suitability to adopt a child from a convention country: $775."
I-800A,2024-04-01,2024-01-31,920,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(47) Application for Determination of Suitability to Adopt a Child from a Convention Country, Form I-800A. For filing an application for determination [...]  and eligibility to adopt a child from a Hague Adoption Convention country: $920."
I-817,2004-04-30,2004-04-15,195,69 FR 20528,04-8699,https://www.federalregister.gov/documents/2004/04/15/04-8699/adjustment-of-the-immigration-benefit-application-fee-schedule,* * * * * Form I-817. For filing an application for voluntary departure under the Family Unity Program--$195.
I-817,2007-07-30,2007-05-30,440,72 FR 29851,E7-10371,https://www.federalregister.gov/documents/2007/05/30/E7-10371/adjustment-of-the-immigration-and-naturalization-benefit-application-and-petition-fee-schedule,* * * * * Form I-817. For filing an application for voluntary departure under the Family Unity Program--$440.
I-817,2010-11-23,2010-09-24,435,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(LL) Application for Family Unity Benefits (Form I-817). For filing an application for voluntary departure under the Family Unity Program: $435.
I-817,2016-12-23,2016-10-24,600,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(MM) Application for Family Unity Benefits, Form I-817. For filing an application for voluntary departure under the Family Unity Program: $600."
I-817,2024-04-01,2024-01-31,760,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(49) Application for Family Unity Benefits, Form I-817. For filing an application for voluntary departure under the Family Unity Program: $760."
I-821,2010-11-23,2010-09-24,50,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(MM) Application for Temporary Protected Status (Form I-821). For first time applicants: $50.
I-821,2016-12-23,2016-10-24,50,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(NN) Application for Temporary Protected Status, Form I-821. For first time applicants: $50."
I-824,2010-11-23,2010-09-24,405,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(NN) Application for Action on an Approved Application or Petition (Form I-824). For filing for action on an approved application or petition: $405.
I-824,2016-12-23,2016-10-24,465,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(OO) Application for Action on an Approved Application or Petition, Form I-824. For filing for action on an approved application or petition: $465."
I-824,2024-04-01,2024-01-31,590,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(52) Application for Action on an Approved Application or Petition, Form I-824. To request additional action on a previously approved benefit request. $590."
I-829,2010-11-23,2010-09-24,3750,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(OO) Petition by Entrepreneur to Remove Conditions (Form I-829). For filing a petition by entrepreneur to remove conditions: $3,750."
I-829,2016-12-23,2016-10-24,3750,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(PP) Petition by Entrepreneur to Remove Conditions, Form I-829. For filing a petition by entrepreneur to remove conditions: $3,750."
I-829,2024-04-01,2024-01-31,9525,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(53) Petition by Investor to Remove Conditions on Permanent Resident Status, Form I-829. For a conditional permanent resident who obtained status through qualified investment to remove the conditions on their residence. $9,525."
I-90,2004-04-30,2004-04-15,185,69 FR 20528,04-8699,https://www.federalregister.gov/documents/2004/04/15/04-8699/adjustment-of-the-immigration-benefit-application-fee-schedule,"* * * * * Form I-90. For filing an application for a Permanent Resident Card (Form I-551) in lieu of an obsolete card or in lieu of one lost, mutilated, or destroyed, or for a change in name--$185."
I-90,2007-07-30,2007-05-30,290,72 FR 29851,E7-10371,https://www.federalregister.gov/documents/2007/05/30/E7-10371/adjustment-of-the-immigration-and-naturalization-benefit-application-and-petition-fee-schedule,"* * * * * Form I-90. For filing an application for a Permanent Resident Card (Form I-551) in lieu of an obsolete card or in lieu of one lost, mutilated, or destroyed, or for a change in name--$290."
I-90,2010-11-23,2010-09-24,365,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(G) Application to Replace Permanent Resident Card (Form I-90). For filing an application for a Permanent Resident Card (Form I-551) in lieu of an obs [...] d or in lieu of one lost, mutilated, or destroyed, or for a change in name: $365."
I-90,2016-12-23,2016-10-24,455,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(G) Application to Replace Permanent Resident Card, Form I-90. For filing an application for a Permanent Resident Card, Form I-551, to replace an obso [...] d or to replace one lost, mutilated, or destroyed, or for a change in name: $455."
I-90,2024-04-01,2024-01-31,465,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(1) Application to Replace Permanent Resident Card, Form I-90. For filing an application for a Permanent Resident Card, Form I-551, to replace an obso [...] rd or to replace one lost, mutilated, or destroyed, or for a change in name $465."
I-905,2010-11-23,2010-09-24,230,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(QQ) Application for Authorization to Issue Certification for Health Care Workers (Form I-905): $230.
I-905,2016-12-23,2016-10-24,230,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(RR) Application for Authorization to Issue Certification for Health Care Workers, Form I-905: $230."
I-905,2024-04-01,2024-01-31,230,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(57) Application for Authorization to Issue Certification for Health Care Workers, Form I-905. For an organization to apply for authorization to issue certificates to health care workers. $230."
I-907,2010-11-23,2010-09-24,1225,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(RR) Request for Premium Processing Service (Form I-907). The fee must be paid in addition to, and in a separate remittance from, other filing fees. T [...] to the Consumer Price Index (CPI). The fee to request premium processing: $1,225."
I-907,2016-12-23,2016-10-24,1225,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(SS) Request for Premium Processing Service, Form I-907. $1,225."
I-910,2016-12-23,2016-10-24,785,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(TT) Application for Civil Surgeon Designation, Form I-910. For filing an application for civil surgeon designation: $785."
I-910,2024-04-01,2024-01-31,990,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(59) Request for Civil Surgeon Designation, Form I-910. To apply for civil surgeon designation. $990."
I-924,2010-11-23,2010-09-24,6230,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(TT) Application for Regional Center under the Immigrant Investor Pilot Program (Form I-924). For filing an application for regional center under the Immigrant Investor Pilot Program: $6,230."
I-924,2016-12-23,2016-10-24,17795,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(WW) Application for Regional Center Designation under the Immigrant Investor Program, Form I-924. For filing an application for regional center designation under the Immigrant Investor Program: $17,795."
I-929,2010-11-23,2010-09-24,215,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(UU) Petition for Qualifying Family Member of a U-1 Nonimmigrant (Form I-929). For U-1 principal applicant to submit for each qualifying family member who plans to seek an immigrant visa or adjustment of U status: $215.
