form,effective,published,amount,citation,fr_document,url,source_sentence
N-400,2010-11-23,2010-09-24,595,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(XX) Application for Naturalization (Form N-400). For filing an application for naturalization (other than such application filed on or after October  [...]  of the Act with respect to military service, for which no fee is charged): $595."
N-400,2016-12-23,2016-10-24,640,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(BBB) Application for Naturalization, Form N-400. For filing an application for naturalization: $640."
N-400,2024-04-01,2024-01-31,760,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(3) Application for Naturalization, Form N-400. To apply for U.S. citizenship. $760."
N-470,2004-04-30,2004-04-15,150,69 FR 20528,04-8699,https://www.federalregister.gov/documents/2004/04/15/04-8699/adjustment-of-the-immigration-benefit-application-fee-schedule,* * * * * Form N-470. For filing an application for benefits under section 316(b) or 317 of the Act--$150.
N-470,2007-07-30,2007-05-30,305,72 FR 29851,E7-10371,https://www.federalregister.gov/documents/2007/05/30/E7-10371/adjustment-of-the-immigration-and-naturalization-benefit-application-and-petition-fee-schedule,* * * * * Form N-470. For filing an application for benefits under section 316(b) or 317 of the Act--$305.
N-470,2010-11-23,2010-09-24,330,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(YY) Application to Preserve Residence for Naturalization Purposes (Form N-470). For filing an application for benefits under section 316(b) or 317 of the Act: $330.
N-470,2016-12-23,2016-10-24,355,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(CCC) Application to Preserve Residence for Naturalization Purposes, Form N-470. For filing an application for benefits under section 316(b) or 317 of the Act: $355."
N-470,2024-04-01,2024-01-31,420,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(5) Application to Preserve Residence for Naturalization Purposes, Form N-470. Application for a lawful permanent resident who must leave the United States to preserve their residence to pursue naturalization. $420."
N-600K,2016-12-23,2016-10-24,1170,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(FFF) Application for Citizenship and Issuance of Certificate under section 322 of the Act, Form N-600K. For filing an application for citizenship and issuance of certificate under section 322 of the Act: $1,170."
N-600K,2024-04-01,2024-01-31,1385,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(8) Application for Citizenship and Issuance of Certificate Under Section 322, Form N-600K. Application for children who regularly reside outside the United States to apply for citizenship based on a U.S. citizen parent. $1,385."
